<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NVDA,D,01/03/23,00:00:00,23.191,23.25,22.511,22.714,9350350
NVDA,D,02/03/23,00:00:00,22.47,23.378,22.441,23.315,8342980
NVDA,D,03/03/23,00:00:00,23.335,23.9,23.133,23.89,10449450
NVDA,D,06/03/23,00:00:00,23.891,24.246,23.492,23.569,6713880
NVDA,D,07/03/23,00:00:00,23.605,24.121,23.243,23.285,10153360
NVDA,D,08/03/23,00:00:00,23.487,24.2,23.437,24.184,10600320
NVDA,D,09/03/23,00:00:00,24.181,24.45,23.39,23.455,10505100
NVDA,D,10/03/23,00:00:00,23.403,23.624,22.732,22.962,12584810
NVDA,D,13/03/23,00:00:00,22.745,23.295,22.3,22.958,8113510
NVDA,D,14/03/23,00:00:00,23.496,24.217,23.481,24.043,9606410
NVDA,D,15/03/23,00:00:00,23.735,24.286,23.365,24.235,11210400
NVDA,D,16/03/23,00:00:00,24.03,25.587,23.9,25.541,17921690
NVDA,D,17/03/23,00:00:00,25.982,26.395,25.67,25.731,18348030
NVDA,D,20/03/23,00:00:00,25.623,26.015,25.147,25.901,8226160
NVDA,D,21/03/23,00:00:00,26.196,26.39,25.387,26.204,8825920
NVDA,D,22/03/23,00:00:00,26.425,27.588,26.245,26.451,17960750
NVDA,D,23/03/23,00:00:00,27.1155,27.499,26.691,27.195,12740020
NVDA,D,24/03/23,00:00:00,27.031,27.163,26.355,26.776,10822110
NVDA,D,27/03/23,00:00:00,26.83,26.991,26.367,26.548,8010340
NVDA,D,28/03/23,00:00:00,26.452,26.5,25.859,26.415,8203780
NVDA,D,29/03/23,00:00:00,26.821,27.075,26.598,26.991,7833700
NVDA,D,30/03/23,00:00:00,27.231,27.499,27.112,27.387,7445410
NVDA,D,31/03/23,00:00:00,27.134,27.832,27.107,27.791,13705350
NVDA,D,03/04/23,00:00:00,27.52,28,27.337,27.978,7650170
NVDA,D,04/04/23,00:00:00,27.975,28,27.312,27.472,6857320
NVDA,D,05/04/23,00:00:00,26.829,26.996,26.399,26.879,11252060
NVDA,D,06/04/23,00:00:00,26.591,27.076,26.435,27.034,9557590
NVDA,D,10/04/23,00:00:00,26.823,27.616,26.677,27.59,8017290
NVDA,D,11/04/23,00:00:00,27.721,27.776,27.127,27.169,5349580
NVDA,D,12/04/23,00:00:00,27.348,27.457,26.449,26.502,7855830
NVDA,D,13/04/23,00:00:00,26.738,26.883,26.332,26.456,6797390
NVDA,D,14/04/23,00:00:00,26.502,26.88,26.2265,26.759,9459110
NVDA,D,17/04/23,00:00:00,26.587,27.002,26.445,27.001,4842240
NVDA,D,18/04/23,00:00:00,27.5335,28.1,27.359,27.674,10480250
NVDA,D,19/04/23,00:00:00,27.366,28,27.232,27.933,6091320
NVDA,D,20/04/23,00:00:00,27.671,28.03,27.002,27.098,7735670
NVDA,D,21/04/23,00:00:00,26.978,27.182,26.736,27.127,7146510
NVDA,D,24/04/23,00:00:00,27.039,27.362,26.687,27.042,4888810
NVDA,D,25/04/23,00:00:00,27.077,27.243,26.229,26.234,6213300
NVDA,D,26/04/23,00:00:00,27.002,27.328,26.717,26.957,9024820
NVDA,D,27/04/23,00:00:00,27.35,27.492,26.638,27.221,7405240
NVDA,D,28/04/23,00:00:00,27.225,27.758,27.072,27.747,8237680
NVDA,D,01/05/23,00:00:00,27.849,29.054,27.781,28.919,10398280
NVDA,D,02/05/23,00:00:00,28.679,28.833,28.085,28.204,7199820
NVDA,D,03/05/23,00:00:00,27.825,28.366,27.476,27.802,6842620
NVDA,D,04/05/23,00:00:00,27.635,27.856,27.24,27.558,7469420
NVDA,D,05/05/23,00:00:00,27.8255,28.755,27.732,28.679,11488990
NVDA,D,08/05/23,00:00:00,28.517,29.22,28.354,29.156,6569200
NVDA,D,09/05/23,00:00:00,28.883,28.965,28.459,28.566,6206170
NVDA,D,10/05/23,00:00:00,29.021,29.111,28.471,28.879,7844010
NVDA,D,11/05/23,00:00:00,28.934,28.948,28.25,28.576,6564490
NVDA,D,12/05/23,00:00:00,28.529,28.778,28.05,28.336,6690480
NVDA,D,15/05/23,00:00:00,28.515,28.966,28.163,28.959,5571520
NVDA,D,16/05/23,00:00:00,28.843,29.867,28.832,29.212,9946000
NVDA,D,17/05/23,00:00:00,29.584,30.197,29.435,30.185,8796500
NVDA,D,18/05/23,00:00:00,30.426,31.827,30.32,31.673,17163350
NVDA,D,19/05/23,00:00:00,31.519,31.565,30.918,31.262,10846620
NVDA,D,22/05/23,00:00:00,30.916,31.514,30.689,31.175,5458630
NVDA,D,23/05/23,00:00:00,30.999,31.279,30.634,30.69,6165900
NVDA,D,24/05/23,00:00:00,30.201,30.605,29.806,30.527,9115700
NVDA,D,25/05/23,00:00:00,38.53,39.476,36.638,37.984,31586740
NVDA,D,26/05/23,00:00:00,37.858,39.169,37.576,38.937,16525860
NVDA,D,30/05/23,00:00:00,40.595,41.933,39.951,40.116,15809840
NVDA,D,31/05/23,00:00:00,39.491,40.285,37.825,37.857,16761020
NVDA,D,01/06/23,00:00:00,38.489,40.05,38.349,39.768,11141310
NVDA,D,02/06/23,00:00:00,40.093,40.5,39.066,39.322,12485280
NVDA,D,05/06/23,00:00:00,38.899,39.556,38.714,39.185,6618000
NVDA,D,06/06/23,00:00:00,38.83,39.155,38.15,38.666,6754180
NVDA,D,07/06/23,00:00:00,38.914,39.495,37.359,37.485,10327780
NVDA,D,08/06/23,00:00:00,37.714,38.86,37.533,38.523,9510160
NVDA,D,09/06/23,00:00:00,39.037,39.709,38.573,38.781,12031820
NVDA,D,12/06/23,00:00:00,39.1995,39.519,38.625,39.491,6766120
NVDA,D,13/06/23,00:00:00,40.186,41.101,39.746,41.024,13195950
NVDA,D,14/06/23,00:00:00,40.822,43,40.557,42.986,16803500
NVDA,D,15/06/23,00:00:00,42.602,43.289,42.147,42.659,12266800
NVDA,D,16/06/23,00:00:00,43.5,43.719,42.668,42.697,14110310
NVDA,D,20/06/23,00:00:00,42.997,43.988,42.675,43.809,8326680
NVDA,D,21/06/23,00:00:00,43.5095,43.615,42.086,43.049,11441460
NVDA,D,22/06/23,00:00:00,42.253,43.425,42.249,43.016,8449210
NVDA,D,23/06/23,00:00:00,42.458,42.802,42.033,42.212,9679460
NVDA,D,26/06/23,00:00:00,42.461,42.763,40.1,40.624,12465760
NVDA,D,27/06/23,00:00:00,40.822,41.937,40.451,41.88,10007490
NVDA,D,28/06/23,00:00:00,40.657,41.839,40.518,41.126,12727120
NVDA,D,29/06/23,00:00:00,41.558,41.596,40.6,40.845,8475900
NVDA,D,30/06/23,00:00:00,41.677,42.55,41.511,42.291,12159390
NVDA,D,03/07/23,00:00:00,42.517,42.897,42.202,42.407,4779640
NVDA,D,05/07/23,00:00:00,42.122,43.175,42.122,42.323,8216410
NVDA,D,06/07/23,00:00:00,41.82,42.176,41.352,42.1,8301780
NVDA,D,07/07/23,00:00:00,42.328,43.21,42.187,42.498,11683760
NVDA,D,10/07/23,00:00:00,42.657,42.804,41.659,42.183,8098450
NVDA,D,11/07/23,00:00:00,42.5,42.755,42.074,42.398,7272080
NVDA,D,12/07/23,00:00:00,43.018,43.934,42.797,43.89,12166240
NVDA,D,13/07/23,00:00:00,44.518,46.155,44.499,45.976,14302010
NVDA,D,14/07/23,00:00:00,46.584,48.035,45.067,45.474,22167400
NVDA,D,17/07/23,00:00:00,46.297,46.494,45.275,46.46,11446490
NVDA,D,18/07/23,00:00:00,46.701,47.882,45.759,47.492,16902190
NVDA,D,19/07/23,00:00:00,47.494,47.804,46.753,47.066,12574680
NVDA,D,20/07/23,00:00:00,46.507,47.08,45.076,45.54,18675330
NVDA,D,21/07/23,00:00:00,45.808,45.825,44.183,44.327,16759190
NVDA,D,24/07/23,00:00:00,44.731,45.103,44.042,44.61,6933750
NVDA,D,25/07/23,00:00:00,44.9475,46.175,44.925,45.66,8530080
NVDA,D,26/07/23,00:00:00,46.0115,46.033,44.639,45.449,8702350
NVDA,D,27/07/23,00:00:00,46.532,47.391,45.751,45.9,16235590
NVDA,D,28/07/23,00:00:00,46.654,47.02,46.389,46.739,10640100
NVDA,D,31/07/23,00:00:00,46.738,47.123,46.514,46.732,5914150
NVDA,D,01/08/23,00:00:00,46.474,46.9,46.043,46.506,5857060
NVDA,D,02/08/23,00:00:00,45.79,45.809,43.4,44.266,14116410
NVDA,D,03/08/23,00:00:00,43.8,45.118,43.8,44.517,9009410
NVDA,D,04/08/23,00:00:00,45,45.6355,44.4,44.686,13755180
NVDA,D,07/08/23,00:00:00,45.111,45.539,44.57,45.414,9210620
NVDA,D,08/08/23,00:00:00,44.871,45.231,44.067,44.657,8681570
NVDA,D,09/08/23,00:00:00,44.27,44.302,42.135,42.551,14872400
NVDA,D,10/08/23,00:00:00,42.157,43.566,41.855,42.372,13438220
NVDA,D,11/08/23,00:00:00,41.72,42.006,40.639,40.875,15806380
NVDA,D,14/08/23,00:00:00,40.5,43.788,40.318,43.766,17265020
NVDA,D,15/08/23,00:00:00,44.569,45.243,43.716,43.933,14723160
NVDA,D,16/08/23,00:00:00,44.533,44.674,43.406,43.492,13571200
NVDA,D,17/08/23,00:00:00,43.962,44.051,43.002,43.35,11902920
NVDA,D,18/08/23,00:00:00,42.609,43.569,41.675,43.287,21222440
NVDA,D,21/08/23,00:00:00,44.476,47.063,44.238,46.958,12642240
NVDA,D,22/08/23,00:00:00,48.1295,48.169,45.35,45.67,13642180
NVDA,D,23/08/23,00:00:00,45.885,47.2,45.211,47.123,9797540
NVDA,D,24/08/23,00:00:00,50.247,50.247,47.164,47.174,28264310
NVDA,D,25/08/23,00:00:00,47.0125,47.801,45.03,46.003,25189640
NVDA,D,28/08/23,00:00:00,46.45,46.97,44.9,46.826,13555360
NVDA,D,29/08/23,00:00:00,46.672,49.07,46.4,48.774,19495090
NVDA,D,30/08/23,00:00:00,49.049,49.927,48.427,49.266,15729930
NVDA,D,31/08/23,00:00:00,49.4,49.729,48.967,49.363,13085810
NVDA,D,01/09/23,00:00:00,49.78,49.781,48.15,48.514,14601280
NVDA,D,05/09/23,00:00:00,48.222,48.847,47.869,48.541,8703570
NVDA,D,06/09/23,00:00:00,48.475,48.547,46.582,47.055,12285200
NVDA,D,07/09/23,00:00:00,45.506,46.338,45.154,46.239,12307390
NVDA,D,08/09/23,00:00:00,45.967,46.603,45.283,45.563,17194580
NVDA,D,11/09/23,00:00:00,46.14,46.158,44.326,45.18,11585290
NVDA,D,12/09/23,00:00:00,44.721,45.665,44.534,44.861,8460330
NVDA,D,13/09/23,00:00:00,44.521,45.93,44.521,45.498,11388980
NVDA,D,14/09/23,00:00:00,45.95,45.972,45.135,45.593,12494720
NVDA,D,15/09/23,00:00:00,45.317,45.595,43.811,43.899,18485720
NVDA,D,18/09/23,00:00:00,42.727,44.24,42.31,43.966,13542130
NVDA,D,19/09/23,00:00:00,43.8,43.951,43.012,43.517,8470140
NVDA,D,20/09/23,00:00:00,43.6,43.9015,42.225,42.225,9033910
NVDA,D,21/09/23,00:00:00,41.575,42.089,40.982,41.005,14080940
NVDA,D,22/09/23,00:00:00,41.6,42.106,41.233,41.632,14953140
NVDA,D,25/09/23,00:00:00,41.58,42.527,41.191,42.229,9998740
NVDA,D,26/09/23,00:00:00,42.011,42.817,41.664,41.898,9986780
NVDA,D,27/09/23,00:00:00,42.333,42.866,41.643,42.47,15263330
NVDA,D,28/09/23,00:00:00,42.459,43.445,42.118,43.071,16660700
NVDA,D,29/09/23,00:00:00,43.851,44.136,43.311,43.49,17456450
NVDA,D,02/10/23,00:00:00,44.034,45.17,43.891,44.79,16595860
NVDA,D,03/10/23,00:00:00,44.805,45.117,43.2495,43.539,14746140
NVDA,D,04/10/23,00:00:00,43.71,44.136,43.294,44.012,15347880
NVDA,D,05/10/23,00:00:00,44.17,44.9,43.893,44.677,17018790
NVDA,D,06/10/23,00:00:00,44.193,45.781,44.032,45.763,20956600
NVDA,D,09/10/23,00:00:00,44.842,45.6,44.37,45.267,13869840
NVDA,D,10/10/23,00:00:00,45.352,46.259,45.09,45.798,14709230
NVDA,D,11/10/23,00:00:00,46.185,46.847,46.06,46.815,15629220
NVDA,D,12/10/23,00:00:00,46.8,47.601,46.338,46.935,20746770
NVDA,D,13/10/23,00:00:00,46.972,47.108,45.2805,45.46,17723640
NVDA,D,16/10/23,00:00:00,45.036,46.222,44.92,46.081,12578670
NVDA,D,17/10/23,00:00:00,43.992,44.752,42.481,43.954,24638710
NVDA,D,18/10/23,00:00:00,42.586,43.21,41.829,42.197,21140520
NVDA,D,19/10/23,00:00:00,42.813,43.295,41.886,42.096,19404580
NVDA,D,20/10/23,00:00:00,41.89,42.463,41.08,41.375,22583310
NVDA,D,23/10/23,00:00:00,41.236,43.247,40.95,42.988,17731450
NVDA,D,24/10/23,00:00:00,43.066,43.697,42.7,43.671,15837220
NVDA,D,25/10/23,00:00:00,43.405,43.65,41.557,41.782,8771860
NVDA,D,26/10/23,00:00:00,41.857,42.247,39.899,40.322,12221090
NVDA,D,27/10/23,00:00:00,41.137,41.2,40.019,40.495,17982210
NVDA,D,30/10/23,00:00:00,41.087,41.758,40.486,41.159,13308540
NVDA,D,31/10/23,00:00:00,40.426,40.876,39.234,40.782,15967870
NVDA,D,01/11/23,00:00:00,40.908,42.379,40.908,42.316,17079720
NVDA,D,02/11/23,00:00:00,43.369,43.878,42.905,43.512,16571690
NVDA,D,03/11/23,00:00:00,44.018,45.304,43.741,45.011,15319800
NVDA,D,06/11/23,00:00:00,45.3,45.925,44.899,45.763,10495620
NVDA,D,07/11/23,00:00:00,45.716,46.215,45.166,45.967,10250310
NVDA,D,08/11/23,00:00:00,46.1,46.865,45.983,46.566,9822760
NVDA,D,09/11/23,00:00:00,47.467,48.226,46.754,46.955,14615940
NVDA,D,10/11/23,00:00:00,47.485,48.47,47.292,48.335,13050550
NVDA,D,13/11/23,00:00:00,48.345,49.115,48.1,48.608,11126500
NVDA,D,14/11/23,00:00:00,49.67,49.832,49.05,49.662,11458230
NVDA,D,15/11/23,00:00:00,49.938,49.942,48.2,48.899,12446490
NVDA,D,16/11/23,00:00:00,48.685,49.519,48.339,49.486,10837540
NVDA,D,17/11/23,00:00:00,49.459,49.712,49.01,49.3,11784180
NVDA,D,20/11/23,00:00:00,49.323,50.548,49.19,50.424,10156510
NVDA,D,21/11/23,00:00:00,50.126,50.51,49.232,49.982,13235350
NVDA,D,22/11/23,00:00:00,49.851,50.33,47.786,48.703,26186040
NVDA,D,24/11/23,00:00:00,48.47,48.92,47.747,47.76,9934120
NVDA,D,27/11/23,00:00:00,47.792,48.53,47.657,48.236,11951130
NVDA,D,28/11/23,00:00:00,48.241,48.32,47.474,47.821,12192170
NVDA,D,29/11/23,00:00:00,48.387,48.758,47.866,48.141,10673090
NVDA,D,30/11/23,00:00:00,48.017,48.108,46.425,46.812,15465220
NVDA,D,01/12/23,00:00:00,46.506,47.199,46.187,46.758,14700440
NVDA,D,04/12/23,00:00:00,46.052,46.053,45.01,45.499,11882530
NVDA,D,05/12/23,00:00:00,45.461,46.6,45.281,46.579,9727520
NVDA,D,06/12/23,00:00:00,47.276,47.367,45.417,45.534,10486830
NVDA,D,07/12/23,00:00:00,45.712,46.628,45.605,46.603,10791450
NVDA,D,08/12/23,00:00:00,46.585,47.737,46.585,47.508,14122790
NVDA,D,11/12/23,00:00:00,47.486,47.5,45.83,46.639,14989900
NVDA,D,12/12/23,00:00:00,46.169,47.666,46.124,47.666,10397000
NVDA,D,13/12/23,00:00:00,47.629,48.594,47.616,48.092,14583330
NVDA,D,14/12/23,00:00:00,48.37,48.67,47.425,48.342,11322780
NVDA,D,15/12/23,00:00:00,48.266,49.402,48.152,48.913,15735310
NVDA,D,18/12/23,00:00:00,49.4,50.424,49.17,50.083,11685100
NVDA,D,19/12/23,00:00:00,49.423,49.7,48.896,49.614,12581160
NVDA,D,20/12/23,00:00:00,49.664,49.998,48.102,48.135,10602250
NVDA,D,21/12/23,00:00:00,48.875,49.095,48.425,48.992,8416600
NVDA,D,22/12/23,00:00:00,49.184,49.379,48.485,48.823,8341190
NVDA,D,26/12/23,00:00:00,48.975,49.597,48.974,49.275,5051770
NVDA,D,27/12/23,00:00:00,49.49,49.669,49.085,49.423,5759380
NVDA,D,28/12/23,00:00:00,49.669,49.88,49.419,49.535,7606500
NVDA,D,29/12/23,00:00:00,49.832,49.996,48.761,49.526,13758990
NVDA,D,02/01/24,00:00:00,49.2755,49.281,47.6,48.188,10503130
NVDA,D,03/01/24,00:00:00,47.48,48.183,47.32,47.566,8095610
NVDA,D,04/01/24,00:00:00,47.767,48.499,47.52,47.983,9621530
NVDA,D,05/01/24,00:00:00,48.482,49.542,48.331,49.092,16324080
NVDA,D,08/01/24,00:00:00,49.533,52.275,49.483,52.236,16650620
NVDA,D,09/01/24,00:00:00,52.399,54.318,51.701,53.14,18821610
NVDA,D,10/01/24,00:00:00,53.6375,54.6,53.5,54.343,12960140
NVDA,D,11/01/24,00:00:00,54.967,55.338,53.571,54.818,14336400
NVDA,D,12/01/24,00:00:00,54.606,54.97,54.335,54.704,8959490
NVDA,D,16/01/24,00:00:00,55.073,56.83,54.917,56.401,10656440
NVDA,D,17/01/24,00:00:00,56.347,56.47,54.753,56.051,10253960
NVDA,D,18/01/24,00:00:00,57.282,57.6,56.107,57.102,14478500
NVDA,D,19/01/24,00:00:00,57.961,59.499,57.249,59.499,18188730
NVDA,D,22/01/24,00:00:00,60.043,60.33,59.07,59.665,9360600
NVDA,D,23/01/24,00:00:00,59.515,59.91,58.594,59.867,7170820
NVDA,D,24/01/24,00:00:00,60.335,62.84,59.945,61.365,15489020
NVDA,D,25/01/24,00:00:00,62.338,62.709,60.865,61.656,12002710
NVDA,D,26/01/24,00:00:00,60.976,61.783,60.573,61.024,11607870
NVDA,D,29/01/24,00:00:00,61.237,62.483,60.909,62.469,6852240
NVDA,D,30/01/24,00:00:00,62.9215,63.49,62.268,62.786,8984940
NVDA,D,31/01/24,00:00:00,61.328,62.251,60.7,61.5,10809160
NVDA,D,01/02/24,00:00:00,62.15,63.191,61.66,63.035,11131310
