<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ALGN,D,04/05/23,00:00:00,299.87,304.19,298.01,304.11,9250
ALGN,D,05/05/23,00:00:00,307.185,314.01,307.06,313.99,8199
ALGN,D,08/05/23,00:00:00,310.54,310.54,303.7,306.18,7017
ALGN,D,09/05/23,00:00:00,302.32,304.21,299.89,302.72,6406
ALGN,D,10/05/23,00:00:00,306.22,308.15,302.94,305.2,4980
ALGN,D,11/05/23,00:00:00,300.6,300.62,292.18,296.16,9552
ALGN,D,12/05/23,00:00:00,297,297.25,291.53,293.47,6866
ALGN,D,15/05/23,00:00:00,291.99,299.76,291.99,297.23,8675
ALGN,D,16/05/23,00:00:00,292.19,293.72,289.94,292.47,12946
ALGN,D,17/05/23,00:00:00,288.46,293.97,287.025,291.07,12361
ALGN,D,18/05/23,00:00:00,288.48,295.78,288.22,293.66,6997
ALGN,D,19/05/23,00:00:00,292.89,293.15,289.11,290.69,7483
ALGN,D,22/05/23,00:00:00,291.04,304.06,291.04,300.8,6296
ALGN,D,23/05/23,00:00:00,299.21,303.06,281.29,282.52,27409
ALGN,D,24/05/23,00:00:00,280.73,284,278.33,281.26,9317
ALGN,D,25/05/23,00:00:00,280.78,281.51,278.09,279.91,7553
ALGN,D,26/05/23,00:00:00,281.68,286.98,280.66,285.23,7500
ALGN,D,30/05/23,00:00:00,285.92,286.73,282.31,284.98,9761
ALGN,D,31/05/23,00:00:00,277.82,282.99,273.75,282.83,11812
ALGN,D,01/06/23,00:00:00,283.6,297.97,283.31,297.23,13284
ALGN,D,02/06/23,00:00:00,300.94,302.42,297.19,301.98,13710
ALGN,D,05/06/23,00:00:00,305.53,306.395,302.84,305.41,8903
ALGN,D,06/06/23,00:00:00,304.52,307.42,303.32,304.86,4301
ALGN,D,07/06/23,00:00:00,306.22,311.53,300.79,301.74,10900
ALGN,D,08/06/23,00:00:00,302.67,307.78,302.62,306.85,7284
ALGN,D,09/06/23,00:00:00,302.73,309.48,302.73,304.65,11085
ALGN,D,12/06/23,00:00:00,304.81,311.56,304.81,311.44,10215
ALGN,D,13/06/23,00:00:00,316,328.87,316,322.06,20089
ALGN,D,14/06/23,00:00:00,325.25,328.22,319.12,322.13,9626
ALGN,D,15/06/23,00:00:00,324.15,334.405,324.07,333.43,12279
ALGN,D,16/06/23,00:00:00,335.01,335.01,326.6,330.37,17247
ALGN,D,20/06/23,00:00:00,325.49,333.02,322.37,331.84,8244
ALGN,D,21/06/23,00:00:00,329.76,333.98,328.2,330.61,14626
ALGN,D,22/06/23,00:00:00,328,334.79,327.04,334.3,9529
ALGN,D,23/06/23,00:00:00,326.92,330.89,325.64,329.2,11361
ALGN,D,26/06/23,00:00:00,330.39,335.13,329.015,331.46,5242
ALGN,D,27/06/23,00:00:00,332.53,341.4,329.96,340.76,10616
ALGN,D,28/06/23,00:00:00,341.3,347.36,340.91,345.1,6797
ALGN,D,29/06/23,00:00:00,344.87,349.15,338.19,341.92,13876
ALGN,D,30/06/23,00:00:00,345.9,355.92,345.9,354.23,27783
ALGN,D,03/07/23,00:00:00,349.48,349.63,340.42,344.53,7823
ALGN,D,05/07/23,00:00:00,336.22,339,327.53,336.7,12948
ALGN,D,06/07/23,00:00:00,329.67,331.38,324.23,330.82,10595
ALGN,D,07/07/23,00:00:00,332.53,335.61,329.04,329.41,7163
ALGN,D,10/07/23,00:00:00,333.48,343.82,333.48,343.82,7931
ALGN,D,11/07/23,00:00:00,346.03,350.7,345.2,350.3,7500
ALGN,D,12/07/23,00:00:00,354.95,358.64,349.74,357.49,9424
ALGN,D,13/07/23,00:00:00,357.91,368.01,357.56,367.53,8938
ALGN,D,14/07/23,00:00:00,370.25,371.03,366.19,366.19,11211
ALGN,D,17/07/23,00:00:00,362.11,371.77,361.8,370.5,7883
ALGN,D,18/07/23,00:00:00,358.1,360.91,354.5,360.64,12737
ALGN,D,19/07/23,00:00:00,352.57,352.57,340.86,342.74,25579
ALGN,D,20/07/23,00:00:00,338.84,338.84,330.795,331.02,29214
ALGN,D,21/07/23,00:00:00,332.71,339.71,332.71,337.31,11790
